             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
             62407 singlenod Tinker-s    stajv  R    4:45:25      1 c38-8
             62406 singlenod Tinker-s    stajv  R    4:45:30      1 c38-8
             62405 singlenod Tinker-s    stajv  R    4:45:36      1 c38-8
             62404 singlenod Tinker-s    stajv  R    4:45:41      1 c38-8
             62403 singlenod Tinker-s    stajv  R    4:45:45      1 c38-8
             62402 singlenod Tinker-s    stajv  R    4:45:50      1 c38-8
             62366 singlenod Tinker-s    stajv  R    4:54:41      1 c28-6
             62365 singlenod Tinker-s    stajv  R    4:54:44      1 c60-4
             62364 singlenod Tinker-s    stajv  R    4:54:47      1 c60-4
             62363 singlenod Tinker-s    stajv  R    4:54:52      1 c60-2
             62362 singlenod Tinker-s    stajv  R    4:54:55      1 c60-2
             62361 singlenod Tinker-s    stajv  R    4:54:58      1 c58-4
             62360 singlenod Tinker-s    stajv  R    4:55:01      1 c52-3
             62359 singlenod Tinker-s    stajv  R    4:55:04      1 c36-7
             62358 singlenod Tinker-s    stajv  R    4:55:08      1 c36-7
             62357 singlenod Tinker-s    stajv  R    4:55:11      1 c36-7
             62356 singlenod Tinker-s    stajv  R    4:55:15      1 c36-7
             62355 singlenod Tinker-s    stajv  R    4:55:20      1 c36-7
             62351 singlenod Tinker-s    stajv  R    4:56:34      1 c36-7
             62350 singlenod Tinker-s    stajv  R    4:56:45      1 c36-7
             62513 singlenod Tinker-s    stajv  R    3:48:11      1 c21-6
             62512 singlenod Tinker-s    stajv  R    3:48:14      1 c21-6
             62510 singlenod Tinker-s    stajv  R    3:48:20      1 c21-5
             62509 singlenod Tinker-s    stajv  R    3:48:23      1 c21-5
             62508 singlenod Tinker-s    stajv  R    3:48:26      1 c54-3
             62507 singlenod Tinker-s    stajv  R    3:48:30      1 c54-3
             62506 singlenod Tinker-s    stajv  R    3:48:34      1 c54-3
             62505 singlenod Tinker-s    stajv  R    3:48:38      1 c54-3
             62504 singlenod Tinker-s    stajv  R    3:48:44      1 c54-3
             62503 singlenod Tinker-s    stajv  R    3:48:48      1 c54-3
             62502 singlenod Tinker-s    stajv  R    3:48:53      1 c54-3
             62501 singlenod Tinker-s    stajv  R    3:48:58      1 c44-4
             62500 singlenod Tinker-s    stajv  R    3:49:07      1 c44-4
             62499 singlenod Tinker-s    stajv  R    3:49:11      1 c44-4
             62523 singlenod Tinker-s    stajv  R    3:43:25      1 c26-6
             62533 singlenod Tinker-s    stajv  R    3:38:37      1 c25-3
             62532 singlenod Tinker-s    stajv  R    3:40:11      1 c28-6
             55990 multinode run_fvco      elb  R 5-02:10:45     36 c57-[1-8],c58-[1-3,5-8],c59-[1-7],c60-[3,5-8],c61-[1-8],c62-1
             57829 multinode  mini.sh   ovanov  R 3-09:22:17      3 cf100-[33-35]
             57830 multinode  mini.sh   ovanov  R 3-09:22:17      3 cf100-[36-38]
             57828 multinode  mini.sh   ovanov  R 3-10:26:50      3 cb100-4,cf100-[45,47]
             57827 multinode  mini.sh   ovanov  R 3-15:35:52      3 cb100-[54-55],cf100-56
             57826 multinode  mini.sh   ovanov  R 3-16:44:53      3 c51-[3,6],c52-2
             57825 multinode  mini.sh   ovanov  R 3-16:45:53      3 c34-6,c52-4,c55-8
             57824 multinode  mini.sh   ovanov  R 3-16:52:27      3 c35-[2-4]
             57823 multinode  mini.sh   ovanov  R 3-17:26:12      3 c37-[5-6],c53-2
             57822 multinode  mini.sh   ovanov  R 3-18:24:54      3 c26-7,c35-8,c43-2
             57821 multinode  mini.sh   ovanov  R 3-18:32:54      3 c36-[1-2],c48-6
             57820 multinode  mini.sh   ovanov  R 3-18:45:23      3 c37-3,c56-[2,5]
             57819 multinode  mini.sh   ovanov  R 3-20:57:22      3 c28-3,c43-3,c53-6
             57818 multinode  mini.sh   ovanov  R 3-21:10:21      3 c33-8,c52-6,c54-5
             57817 multinode  mini.sh   ovanov  R 3-21:20:23      3 c33-4,c55-3,c62-2
             57816 multinode  mini.sh   ovanov  R 3-21:27:54      3 c32-8,c54-4,c62-7
             57815 multinode  mini.sh   ovanov  R 3-21:28:46      3 c33-[3,5-6]
             57814 multinode  mini.sh   ovanov  R 3-21:33:47      3 c42-2,c56-1,cb100-22
             57811 multinode  mini.sh   ovanov  R 3-21:34:09      3 cb100-45,cf100-[12,15]
             57812 multinode  mini.sh   ovanov  R 3-21:34:09      3 cf100-[16,26,44]
             57813 multinode  mini.sh   ovanov  R 3-21:34:09      3 c33-1,c51-4,cf100-53
             58666 multinode     t10c     oles  R 3-00:13:19      8 c21-8,c22-[3-8],c24-7
             58736 multinode     t12c     oles  R 2-23:58:13      8 c23-[1-2,5-7],c26-2,c47-[2,6]
             56238 multinode   lammps francesb  R 4-23:10:55      4 c30-[3-6]
             56231 multinode   lammps francesb  R 4-23:15:49      4 c47-[4-5],c48-[1,3]
             62872 multinode   lammps francesb  R    1:39:31      4 c27-8,c28-[1-2,4]
             62488 multinode   lammps francesb  R    3:55:22      4 c24-[2-3,6,8]
             60890    normal TiB2-TiO   friisj  R 1-01:59:32      1 c56-7
             60797    normal Surfex_e josteibl  R 1-03:41:04      1 c58-4
             62640    normal   adf.sh   mehdim  R    2:45:38      4 c46-6,c47-1,c48-[2,5]
             62618    normal   adf.sh   mehdim  R    2:54:39      4 c48-8,c49-[1-3]
             62668    normal   adf.sh   mehdim  R    2:32:22      4 c36-8,c37-[1-2,4]
             61549    normal      WPS   phamer  R   15:23:13     32 cb100-[1-3,5-6,8-9,12-13,15-19,21,23-29,32-39],cf100-[24,52]
             62780 multinode  mini.sh    thinf  R      12:18      3 c29-[1,3,5]
             62781 multinode  mini.sh    thinf  R      12:18      3 c23-[3-4],c37-8
             62779 multinode  mini.sh    thinf  R      14:31      3 c27-6,c30-[2,7]
             62777 multinode  mini.sh    thinf  R      16:00      3 c27-[1-2,4]
             62778 multinode  mini.sh    thinf  R      16:00      3 c27-7,c28-7,c30-1
             62776 multinode  mini.sh    thinf  R      16:31      3 c22-2,c32-[3,5]
             62273    normal run_matl      elb  R    5:18:03      1 c21-6
             62272    normal run_matl      elb  R    5:18:08      1 c21-5
             62271    normal run_matl      elb  R    5:18:11      1 c60-4
             62270    normal run_matl      elb  R    5:18:15      1 c60-2
             62269    normal run_matl      elb  R    5:18:20      1 c58-4
             62759 multinode  mini.sh    thinf  R    1:37:28      3 c33-2,c34-1,c35-6
             62758 multinode  mini.sh    thinf  R    1:37:58      3 c32-4,c45-[4,8]
